VPN,VPN Affiliate Link,VPN Standard Link,Overall Score,Security Score,Privacy Score,Speed Score ,Settings Score,Usage Score,Stability Score,Review Version
ProtonVPN,http://proton.go2cloud.org/SH1a,https://protonvpn.com,4.66,5,4.45,5,3,4,5,2.5.0*
Windscribe,https://windscribe.com/?affid=8nzworas,https://windscribe.com,4.6,4.75,4.35,5,3.5,4,5,2.5.0
IVPN,None,https://www.ivpn.net,4.6,5,4.7,3.5,4,4.5,5,3.0.1
Mullvad,None,https://mullvad.net,4.56,4.75,4.4,5,3.5,3.5,5,2.5.0*
Surfshark,https://get.surfshark.net/SH6b,https://surfshark.com,4.5,4.9,4,4.5,3,4.5,5,2.5.0
ProtonVPN (Free),http://proton.go2cloud.org/SH1a,https://protonvpn.com,4.45,4.75,4.45,5,3,3.5,4.5,2.5.0*
AirVPN,https://airvpn.org/?referred_by=420027,https://airvpn.org,4.44,4.75,4.1,3.5,5,4.5,5,2.5.0*
NordVPN,https://nordvpn.com/techlore,https://nordvpn.com/?utm_expid=.enoYMt1LSIWM3j3DZIzXWA.0&utm_referrer=https%3A%2F%2Fduckduckgo.com%2F,4.24,4.15,3.8,5,3,3.5,5,2.5.0*
VyprVPN,http://www.goldenfrog.com/vyprvpn/special/vpn-seasonal-special?offer_id=78&aff_id=4269,https://www.vyprvpn.com,4.23,4.6,3.7,4,4,3.5,5,2.5.0*
Private Internet Access (PIA),https://www.privateinternetaccess.com/pages/buy-vpn/techlore,https://www.privateinternetaccess.com,4.21,4.5,3.25,4,4.5,4.5,5,2.5.0*
TorGuard,None,https://torguard.net,4.16,4.25,3.15,4.25,4.5,4.5,5,2.5.0
ExpressVPN,None,https://www.expressvpn.com,4.13,4.75,3.75,3,3,4,5,2.5.0*
CyberGhost,None,https://www.cyberghostvpn.com,4.04,4.25,3.6,3.5,4,3.5,5,2.5.0*
IPVanish,None,https://www.ipvanish.com,3.91,4.6,2.3,4.25,3,4,5,2.5.0
TunnelBear,None,https://www.tunnelbear.com,3.88,4.25,3.65,4,2,2,5,2.5.0*
StrongVPN,None,https://strongvpn.com,3.78,4.6,2.3,5,4,2,4.5,2.5.0*
SlickVPN,None,https://www.slickvpn.com,3.55,4.35,4.05,3,3,2.5,3,2.5.0*
PureVPN,None,https://www.purevpn.com,3.49,4,2.25,3,4.5,3.5,4.5,2.5.0*
Ivacy,None,https://www.ivacy.com,3.35,4.25,3.35,1.5,3.5,2.5,4,2.5.0*
HideMyAss (HMA),None,https://www.hidemyass.com,3.19,3.65,1.2,3,1.5,4.5,5,2.5.0*
,,,,,,,,,,
"* Marks review with OUTDATED or MISSING speed, settings, usage, & stability score",,,,,,,,,,
