VPN,VPN Affiliate Link,VPN Standard Link,History,Honest Marketing,Jurisdiction,Outside 14 Eyes,Transparency Report,Warrant Canary,Logging Policy,Open Source Clients,No Analytics,Max Data Encryption,Max Handshake Encryption,OpenVPN,Wireguard,Killswitch,IPV6 Protection,2FA,Audits,1st-Party DNS,Custom DNS,Anon Payment,Anon Registration,1st-Party Servers,P2P Friendly,Multihop,Port Forwarding,Helps Privacy Causes,Affiliate Program,Total Servers,Total Countries,Simultaneous Devices,Windows Client,MacOS Client,Linux Client,Android Client,Native F-Droid Client,iOS Client
IVPN,None,https://www.ivpn.net,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ivpn,Yes,Gibraltar🇬🇮,Yes,Yes,Yes,No Logs,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DoH,Cash/XMR/Crypto,Yes,No,Yes,Yes,Yes,Yes,No,81,35,7,Yes,Yes,GUI,Yes,Yes,Yes
Mullvad,None,https://mullvad.net,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/mullvad,Yes,Sweden🇸🇪,No,No,No,No Logs,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,IPV6,Cash/XMR/Crypto,Yes,Some,Yes,Yes,Yes,Yes,No,658,42,5,Yes,Yes,GUI,Yes,Yes,Yes
ProtonVPN,https://go.getproton.me/SHJQ,https://protonvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/protonvpn,Yes,Switzerland🇨🇭,Yes,Yes,No,No Logs,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IPV4,Cash/Crypto,No,Some (Secure Core),Yes,Yes,Yes,Yes,Yes,2750,67,10,Yes,Yes,GUI,Yes,Yes,Yes
Windscribe,None,https://windscribe.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/windscribe,Yes,Canada🇨🇦,No,Yes,No,No Logs,Desktop Clients,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IPV4,Crypto,Yes,Some (Canada Servers),Yes,Yes,Yes,Yes,No,??,69,Unlimited,Yes,Yes,GUI,Yes,No,Yes
AirVPN,None,https://airvpn.org,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/airvpn,Yes,Italy🇮🇹,No,No,No,No Logs,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,No,Yes,??,Crypto,No,No,Yes,No,Yes,Yes,Yes,249,23,5,Yes,Yes,GUI,Yes,No,No
Surfshark,None,https://surfshark.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/surfshark,No,Netherlands🇳🇱,No,Yes,No,No Logs,No,No,AES 256,3072-bit Diffie Hellmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,XMR/Crypto,No,No,Yes,Yes,No,Yes,Yes,3200,100,Unlimited,Yes,Yes,CLI,Yes,No,Yes
NordVPN,None,https://nordvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/nord-vpn,No,Panama🇵🇦,Yes,No,Yes,No Logs,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,Crypto,No,No,Yes,Yes,No,Yes,Yes,5611,60,6,Yes,Yes,CLI,Yes,No,Yes
RiseupVPN,None,https://riseup.net/en/vpn,None,Yes,USA🇺🇸,No,No,Yes,No Logs,Yes,Yes,??,??,Yes,No,??,??,No,No,Yes,??,Crypto,Yes,Yes,Yes,No,No,Yes,No,16,4,Unlimited,Yes,Yes,GUI,Yes,No,No
VyprVPN,None,https://www.vyprvpn.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/vyprvpn,Yes,Switzerland🇨🇭,Yes,No,No,No Logs,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,Yes,No,No,No,Yes,700,64,5,Yes,Yes,CLI,Yes,No,Yes
PIA,None,https://www.privateinternetaccess.com,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/private-internet-access,No,USA🇺🇸,No,Yes,No,No Logs,Yes,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,Gift Card/Crypto,No,No,Yes,No,Yes,Yes,Yes,16500,84,Unlimited,Yes,Yes,GUI,Yes,No,Yes
