Tester,Synthetic Download Test (% of Performance),Synthetic Upload Test (% of Performance),Synthetic Ping Test (ms Difference),Mega Download (% of Performance),Android Studio Test (% of Performance),Continent,Country,Country CODE
0A,73.00%,96.00%,10.6,93.30%,86.10%,North America,United States,US
2A,29.60%,31.80%,18.6,71.86%,61.35%,North America,Canada,CA
3A,30.87%,82.40%,3.8,53.36%,64.12%,North America,United States,US
4A,100.18%,99.26%,0,75.17%,130.00%,Europe,Germany,DE
6A,9.67%,24.87%,1067.8,X,86.68%,South America,Columbia,CO
7A,12.87%,11.80%,12.8,25.97%,33.46%,Australia,Australia,AU
10A,12.14%,13.02%,271.4,59.95%,24.30%,Africa,South Africa,ZA
1B,3.16%,3.22%,2305.4,X,39.78%,Asia,India,IN
3B,81.34%,71.91%,33.8,X,66.96%,North America,Canada,CA
6B,27.61%,72.16%,2.2,22.13%,16.17%,Europe,Finland,FI
7B,42.16%,49.42%,5,71.19%,69.57%,Europe,Netherlands,NL
Global Average,38.42%,50.53%,339.2181818,59.12%,61.68%,,,
